Category,Title,Grade,Serial,Status,"Curated Date",Location,"Market Value","Purchase Price","Insurance Value"
Pokémon,"1996 Pokemon Japanese Bandai Carddass Vending Prism Zapdos #145 PSA 8 NM-MT","PSA 8",61191978,Curated,9/18/25,Durham,80,,80
Pokémon,"1996 Pokémon Japanese Base Set Holo Gyarados #130 CGC 8.5 NM-MT+","CGC 8.5",3831886042,Curated,9/18/25,Durham,79,,79
Pokémon,"1996 Pokemon Japanese Base Set Holo Hitmonchan #107 CGC 10 GEM MINT","CGC 10",1401023816152,Curated,9/18/25,Durham,189,,189
Pokémon,"1997 Pokemon Japanese Bandai Carddass Animation Opening Mew #1 CGC 10 GEM MINT","CGC 10",6017405045,Curated,9/18/25,Durham,85,,85
Pokémon,"1997 Pokemon Japanese Bandai Carddass Animation Opening Mew #1 CGC 10 GEM MINT","CGC 10",6017405046,Curated,9/18/25,Durham,85,,85
Pokémon,"1997 Pokemon Japanese Fossil Holo Moltres #146 CGC 9 MINT","CGC 9",6069900003,Curated,9/19/25,Durham,68,,68
Pokémon,"1997 Pokemon Japanese Meiji Promo Foil Hanada Gym 3 Sisters PSA 8 NM-MT","PSA 8",94650089,Curated,9/18/25,Durham,136,,136
Pokémon,"1997 Pokemon Japanese Rocket Gang Grimer #88 PSA 9 MINT","PSA 9",109541850,Curated,9/18/25,Durham,116,,116
Pokémon,"1997 Pokémon Japanese Rocket Gang Holo Dark Dragonite #149 CGC 8 NM-MT","CGC 8",3831886117,Curated,9/18/25,Durham,74.4,,74.4
Pokémon,"1997 Pokemon Japanese Topsun Blue Back Machoke #67 CGC 10 GEM MINT","CGC 10",6016885010,Curated,9/18/25,Durham,270,,270
Pokémon,"1997 Pokemon Japanese Topsun Charizard Vs Gengar #6 CGC 8 NM-MT","CGC 8",1401039615090,Curated,9/19/25,Durham,97,,97
Pokémon,"1998 Pokemon Japanese Bandai Carddass Vending Team Rocket #40 PSA 10 GEM MINT","PSA 10",70858634,Curated,9/18/25,Durham,131,,131
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Blastoise & Charizard #21 PSA 7 NRMT","PSA 7",45502081,Curated,9/18/25,Durham,167,,167
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Blastoise & Charizard #21 PSA 7 NRMT","PSA 7",71260171,Curated,9/18/25,Durham,167,,167
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Brock & Misty #29 PSA 7 NRMT","PSA 7",64807452,Curated,9/18/25,Durham,94,,94
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Meowth #27 PSA 7 NRMT","PSA 7",45502085,Curated,9/18/25,Durham,72,,72
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Mewtwo #24 PSA 7 NRMT","PSA 7",95562107,Curated,9/18/25,Durham,121,,121
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Mewtwo Close Up #5 PSA 7 NRMT","PSA 7",83882413,Curated,9/18/25,Durham,175,,175
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Mewtwo Close Up #5 PSA 7 NRMT","PSA 7",74493535,Curated,9/18/25,Durham,175,,175
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Sad Pikachu #28 PSA 7 NRMT","PSA 7",48712955,Curated,9/18/25,Durham,103,,103
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Team Rocket #18 PSA 7 NRMT","PSA 7",74459339,Curated,9/18/25,Durham,90,,90
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Team Rocket #18 PSA 7 NRMT","PSA 7",63110633,Curated,9/18/25,Durham,91,,91
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Togepi Crying #36 PSA 7 NRMT","PSA 7",55375064,Curated,9/18/25,Durham,96,,96
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Venusaur #20 PSA 7 NRMT","PSA 7",70110428,Curated,9/18/25,Durham,102,,102
Pokémon,"1998 Pokemon Japanese Meiji Promo Prism Venusaur #20 PSA 9 MINT","PSA 9",54235239,Curated,9/18/25,Durham,646,,646
Pokémon,"1998 Pokemon Japanese Phone Card Mewtwo Strikes Back 3 BGS 9.5 GEM MINT","BGS 9.5",0016902422,Curated,9/18/25,Durham,200,,200
